Base,1993=100,1994=100,1995=100,1996=100,1997=100,1998=100,1999=100,2000=100,2001=100,2002=100,2003=100,2004=100,2005=100,2006=100,2007=100,2008=100,2009=100,2010=100,2011=100,2012=100,2013=100,2014=100,2015=100,2016=100,2017=100,2018=100,2019=100,2020=100,2021=100,2022=100,2023=100,2024=100,2025=100
1993,100,92.28444178,66.48292925,52.47405057,44.57012267,38.51680088,33.40019747,30.17236821,28.33804403,26.86011353,25.75776681,23.82387714,22.49976958,21.20476203,19.98040438,18.79440565,17.85802334,17.10981713,16.19180131,15.48828989,15.22880883,14.59140254,14.13547291,13.32559799,12.50436214,11.88576738,11.39367346,10.89055278,10.42278119,9.786907052,9.369055274,9.056111147,8.747100941
1994,108.3606273,100,72.04131918,56.86121036,48.2964645,41.73704705,36.19266349,32.69496746,30.70728227,29.10578751,27.91127769,25.81570271,24.38089145,22.97761315,21.65089152,20.36573586,19.35106611,18.54030517,17.54553747,16.78320809,16.50203278,15.81133533,15.31728712,14.43970157,13.54980525,12.87949209,12.34625603,11.8010713,11.29419108,10.60515387,10.15236707,9.813258847,9.478413449
1995,150.4145517,138.8092294,100,78.92860792,67.0399502,57.93487338,50.23875729,45.38363239,42.62454189,40.40151935,38.74342948,35.83457799,33.84292754,31.89504775,30.05343568,28.26952101,26.86106575,25.73565473,24.35482535,23.29664181,22.90634454,21.94759272,21.26180821,20.04363848,18.80838026,17.87792372,17.13774285,16.38097614,15.67737961,14.72093237,14.09242249,13.62170898,13.15691267
1996,190.5703846,175.8668157,126.696774,100,84.9374542,73.4016156,63.65088478,57.49959816,54.00391951,51.18742166,49.08667529,45.40125429,42.87789742,40.40999656,38.07673348,35.81657114,34.03210377,32.60624431,30.85677803,29.51609363,29.02159957,27.80689195,26.9380251,25.39464335,23.82961103,22.65075261,21.71296733,20.75416831,19.86273421,18.65094641,17.85464467,17.25826585,16.66938391
1997,224.3655481,207.0544936,149.1647886,117.7336912,100,86.41843141,74.93853611,67.69639931,63.5808078,60.26484093,57.79155468,53.45257251,50.48173133,47.57618054,44.82914379,42.16817125,40.06725194,38.38853497,36.32882375,34.75038651,34.16820041,32.73808029,31.71513127,29.89805097,28.05548065,26.66756712,25.5634779,24.43464842,23.38513015,21.95844765,21.02093222,20.31879341,19.62548097
1998,259.626962,239.5952926,172.6076095,136.2367833,115.7160554,100,86.71591799,78.33560296,73.57320281,69.73609674,66.87410746,61.85320844,58.41546821,55.05327946,51.87451689,48.79534443,46.36424347,44.42169841,42.03828183,40.21177652,39.53809373,37.88321514,36.69949888,34.59684523,32.46469554,30.85865675,29.58104826,28.27481132,27.06035017,25.40944945,24.32459358,23.51210625,22.70983244
1999,299.3994275,276.2990904,199.0495096,157.107007,133.4426921,115.3190813,100,90.33589769,84.84394159,80.41902612,77.11860637,71.32855175,67.3641813,63.48693611,59.82121632,56.27034293,53.46681964,51.22669452,48.47816042,46.37185127,45.59496647,43.68657568,42.32152497,39.8967641,37.43798866,35.58591948,34.1125931,32.60625266,31.20574722,29.30194368,28.05089785,27.11394493,26.18877014
2000,331.4290721,305.8574691,220.3437555,173.9142589,147.718344,127.6558758,110.6979645,100,93.92051638,89.02222503,85.36872754,78.95925493,74.57077753,70.27874603,66.22086883,62.29012426,59.18668105,56.70690814,53.66433683,51.33269548,50.47269981,48.36015006,46.84906671,44.16490577,41.44309141,39.39288853,37.76194622,36.09445801,34.544127,32.43665523,31.05177296,30.01458514,28.99043548
2001,352.8825063,325.655651,234.606627,185.1717448,157.2801659,135.9190523,117.8634539,106.4730091,100,94.7846418,90.89465309,84.07029473,79.39775078,74.82789569,70.50735173,66.32216971,63.01784033,60.37755149,57.13803426,54.65546556,53.73980229,51.490507,49.88161108,47.02370417,44.12570651,41.94279381,40.20628045,38.43085558,36.7801715,34.53628289,33.06175706,31.95743199,30.86698903
2002,372.2992455,343.5742805,247.515444,195.3604943,165.9342304,143.3977591,124.3486832,112.3314992,105.5023241,100,95.8959715,88.69611483,83.76647237,78.94516904,74.38689475,69.97143044,66.48528616,63.69972007,60.2819541,57.66278642,56.69674039,54.32368158,52.62625899,49.61110078,46.5536459,44.25062227,42.41856031,40.54544581,38.80393574,36.43658111,34.8809221,33.71583347,32.56539081
